amount,payment_method,error_source,error_step,error_reason,hour_of_day,day_of_week,previous_attempts,recovered_within_24h
267272,wallet,unknown,unknown,unknown,12,1,1,1
486854,card,customer,payment_authentication,incorrect_pin,14,5,4,0
114317,card,gateway,payment_processing,payment_timed_out,10,3,3,0
185813,netbanking,customer,payment_authentication,expired_card,9,6,2,0
225114,wallet,gateway,payment_processing,payment_timed_out,9,1,5,0
399449,netbanking,customer,payment_authentication,incorrect_pin,15,1,5,1
492363,wallet,unknown,unknown,unknown,19,0,2,0
49171,card,customer,payment_authentication,incorrect_pin,13,4,1,1
244855,netbanking,unknown,unknown,unknown,16,6,1,0
376547,card,customer,payment_authentication,expired_card,9,0,1,0
5403,wallet,bank,payment_processing,bank_unavailable,18,3,5,0
403249,card,customer,payment_authentication,incorrect_pin,9,5,3,1
122021,netbanking,customer,payment_authentication,expired_card,10,5,4,0
259681,upi,customer,payment_authentication,incorrect_pin,1,6,2,1
489249,wallet,customer,payment_authentication,expired_card,6,5,5,0
317934,card,gateway,payment_processing,payment_timed_out,17,6,4,1
494545,card,customer,payment_authorization,insufficient_funds,2,6,4,1
302131,netbanking,customer,payment_authorization,insufficient_funds,5,6,3,0
106036,card,customer,payment_authorization,insufficient_funds,18,3,4,0
346619,wallet,customer,payment_authorization,insufficient_funds,20,2,3,0
308017,netbanking,customer,payment_authentication,incorrect_pin,9,2,2,1
156046,netbanking,customer,payment_authorization,insufficient_funds,9,6,3,0
39377,upi,customer,payment_authentication,expired_card,12,1,2,0
324456,upi,customer,payment_authorization,insufficient_funds,18,5,5,0
289143,card,gateway,payment_processing,payment_timed_out,11,4,4,1
387040,wallet,gateway,payment_processing,payment_timed_out,4,0,4,0
63834,wallet,gateway,payment_processing,payment_timed_out,10,3,4,1
269835,netbanking,customer,payment_authentication,expired_card,6,1,3,0
409512,netbanking,customer,payment_authorization,insufficient_funds,16,5,5,0
445732,card,unknown,unknown,unknown,3,3,2,0
469848,upi,customer,payment_authorization,insufficient_funds,14,2,3,0
106767,upi,bank,payment_processing,bank_unavailable,3,0,1,0
87320,card,bank,payment_processing,bank_unavailable,23,0,2,0
288428,card,gateway,payment_processing,payment_timed_out,15,5,3,1
231893,upi,customer,payment_authentication,expired_card,3,6,3,0
117931,card,gateway,payment_processing,payment_timed_out,23,2,5,0
51919,upi,unknown,unknown,unknown,13,5,4,1
72674,netbanking,bank,payment_processing,bank_unavailable,14,3,3,1
170231,wallet,unknown,unknown,unknown,1,2,3,0
370006,netbanking,customer,payment_authorization,insufficient_funds,4,3,4,0
33483,card,unknown,unknown,unknown,19,4,4,0
53493,card,customer,payment_authorization,insufficient_funds,11,6,2,0
133008,card,unknown,unknown,unknown,14,3,3,0
436997,upi,bank,payment_processing,bank_unavailable,23,2,3,0
495122,netbanking,unknown,unknown,unknown,10,5,1,1
220643,netbanking,customer,payment_authentication,incorrect_pin,9,3,5,0
23257,upi,bank,payment_processing,bank_unavailable,19,2,3,1
6957,card,unknown,unknown,unknown,1,3,2,0
429626,card,customer,payment_authentication,incorrect_pin,10,3,4,1
222944,upi,customer,payment_authorization,insufficient_funds,20,0,4,1
39648,netbanking,customer,payment_authentication,incorrect_pin,5,0,5,0
416880,netbanking,customer,payment_authorization,insufficient_funds,7,4,1,0
264969,netbanking,bank,payment_processing,bank_unavailable,11,1,3,1
175529,netbanking,customer,payment_authentication,expired_card,1,3,1,0
226608,wallet,customer,payment_authorization,insufficient_funds,1,5,3,0
113309,wallet,customer,payment_authentication,incorrect_pin,6,1,3,1
465846,netbanking,customer,payment_authorization,insufficient_funds,21,2,3,0
394094,wallet,unknown,unknown,unknown,5,6,5,0
100326,card,unknown,unknown,unknown,17,0,3,0
367716,wallet,customer,payment_authorization,insufficient_funds,10,5,3,0
90661,wallet,customer,payment_authorization,insufficient_funds,18,1,1,1
227190,netbanking,customer,payment_authentication,incorrect_pin,7,6,2,1
374609,wallet,unknown,unknown,unknown,20,2,5,0
19149,netbanking,gateway,payment_processing,payment_timed_out,8,0,3,1
363134,netbanking,gateway,payment_processing,payment_timed_out,18,5,5,0
113748,card,customer,payment_authorization,insufficient_funds,19,1,3,0
349892,wallet,customer,payment_authentication,expired_card,10,2,3,0
250085,netbanking,customer,payment_authentication,incorrect_pin,16,3,3,0
14037,wallet,gateway,payment_processing,payment_timed_out,2,5,3,0
381182,card,customer,payment_authentication,expired_card,11,2,1,0
130720,wallet,customer,payment_authorization,insufficient_funds,8,6,1,0
476208,upi,gateway,payment_processing,payment_timed_out,22,3,3,1
420108,upi,customer,payment_authentication,expired_card,22,2,3,0
97224,netbanking,bank,payment_processing,bank_unavailable,18,2,3,1
300828,netbanking,customer,payment_authorization,insufficient_funds,22,5,3,0
181654,wallet,customer,payment_authentication,incorrect_pin,23,4,2,1
301495,card,unknown,unknown,unknown,18,0,4,0
278945,netbanking,customer,payment_authorization,insufficient_funds,14,5,4,0
148662,netbanking,customer,payment_authorization,insufficient_funds,4,2,1,0
326050,wallet,gateway,payment_processing,payment_timed_out,19,2,3,0
130826,netbanking,customer,payment_authorization,insufficient_funds,4,0,4,1
453766,card,bank,payment_processing,bank_unavailable,4,6,4,0
473331,wallet,gateway,payment_processing,payment_timed_out,21,0,2,0
83787,upi,customer,payment_authentication,expired_card,2,6,5,1
364150,wallet,customer,payment_authentication,expired_card,3,0,4,1
464759,upi,customer,payment_authentication,incorrect_pin,12,3,3,1
64306,card,bank,payment_processing,bank_unavailable,14,0,4,1
370076,wallet,bank,payment_processing,bank_unavailable,1,3,5,0
468916,netbanking,customer,payment_authentication,expired_card,9,5,2,1
113325,wallet,customer,payment_authentication,incorrect_pin,5,4,1,1
291603,netbanking,customer,payment_authentication,incorrect_pin,7,3,3,1
399125,netbanking,gateway,payment_processing,payment_timed_out,4,0,1,1
167348,card,gateway,payment_processing,payment_timed_out,16,6,5,0
119672,upi,gateway,payment_processing,payment_timed_out,11,2,5,1
199172,upi,customer,payment_authorization,insufficient_funds,23,3,4,0
168359,card,unknown,unknown,unknown,0,6,5,0
362977,upi,customer,payment_authorization,insufficient_funds,18,4,1,1
186093,netbanking,customer,payment_authentication,expired_card,21,5,4,0
188760,wallet,customer,payment_authentication,incorrect_pin,11,1,3,0
472309,wallet,unknown,unknown,unknown,16,3,2,1
289794,card,customer,payment_authorization,insufficient_funds,10,3,2,0
464752,wallet,gateway,payment_processing,payment_timed_out,14,1,3,0
355539,wallet,customer,payment_authorization,insufficient_funds,21,2,4,0
442718,wallet,gateway,payment_processing,payment_timed_out,12,5,1,1
98492,card,bank,payment_processing,bank_unavailable,13,6,4,0
469154,card,customer,payment_authentication,incorrect_pin,23,5,5,1
472177,wallet,customer,payment_authorization,insufficient_funds,11,6,1,1
21343,upi,gateway,payment_processing,payment_timed_out,4,6,5,0
178730,card,customer,payment_authorization,insufficient_funds,16,1,4,0
207232,upi,customer,payment_authorization,insufficient_funds,16,5,2,0
210268,wallet,customer,payment_authentication,expired_card,5,4,4,0
389423,netbanking,customer,payment_authorization,insufficient_funds,17,6,4,0
349559,upi,customer,payment_authentication,incorrect_pin,1,4,4,1
107229,upi,customer,payment_authentication,expired_card,7,0,1,0
304784,netbanking,gateway,payment_processing,payment_timed_out,20,3,1,0
487340,netbanking,gateway,payment_processing,payment_timed_out,14,5,4,1
220620,wallet,unknown,unknown,unknown,14,0,2,1
464179,card,customer,payment_authentication,incorrect_pin,14,3,2,1
325221,wallet,bank,payment_processing,bank_unavailable,3,4,3,1
462556,card,customer,payment_authorization,insufficient_funds,23,3,4,1
451512,wallet,unknown,unknown,unknown,7,5,1,0
9320,upi,customer,payment_authentication,expired_card,18,0,5,1
400342,upi,customer,payment_authentication,incorrect_pin,23,2,3,1
95356,upi,gateway,payment_processing,payment_timed_out,5,6,1,0
412306,card,customer,payment_authentication,incorrect_pin,15,3,1,1
404200,wallet,customer,payment_authorization,insufficient_funds,1,1,5,0
129946,upi,gateway,payment_processing,payment_timed_out,15,0,1,0
34042,card,customer,payment_authentication,expired_card,10,4,3,1
210282,upi,gateway,payment_processing,payment_timed_out,1,6,4,1
152185,wallet,customer,payment_authentication,expired_card,16,0,3,0
277356,netbanking,unknown,unknown,unknown,23,0,2,0
41927,wallet,customer,payment_authentication,expired_card,1,2,1,0
23051,netbanking,customer,payment_authentication,incorrect_pin,21,1,4,1
219134,netbanking,customer,payment_authentication,incorrect_pin,20,0,3,1
385127,wallet,gateway,payment_processing,payment_timed_out,13,2,1,1
158172,upi,customer,payment_authentication,incorrect_pin,21,4,1,1
162408,wallet,bank,payment_processing,bank_unavailable,7,5,3,0
82846,netbanking,customer,payment_authentication,incorrect_pin,17,2,1,0
142015,netbanking,customer,payment_authorization,insufficient_funds,16,4,2,1
150088,card,customer,payment_authentication,expired_card,13,5,1,0
130386,wallet,customer,payment_authorization,insufficient_funds,20,0,4,0
172496,card,bank,payment_processing,bank_unavailable,21,5,4,1
142406,upi,unknown,unknown,unknown,18,1,4,0
340729,wallet,customer,payment_authentication,incorrect_pin,14,4,1,1
169669,upi,customer,payment_authentication,incorrect_pin,23,5,2,1
377624,upi,customer,payment_authorization,insufficient_funds,13,5,2,0
302808,netbanking,gateway,payment_processing,payment_timed_out,15,2,4,0
320602,upi,bank,payment_processing,bank_unavailable,4,4,5,0
292199,wallet,customer,payment_authentication,expired_card,7,0,2,0
461510,card,customer,payment_authentication,incorrect_pin,21,3,4,1
128600,upi,gateway,payment_processing,payment_timed_out,11,6,3,1
491211,wallet,customer,payment_authentication,incorrect_pin,12,1,5,1
104005,netbanking,gateway,payment_processing,payment_timed_out,19,1,1,0
69976,card,customer,payment_authentication,incorrect_pin,7,4,5,1
413353,netbanking,unknown,unknown,unknown,6,3,3,1
448084,netbanking,customer,payment_authorization,insufficient_funds,0,3,2,0
47269,upi,customer,payment_authorization,insufficient_funds,5,1,1,0
300293,wallet,bank,payment_processing,bank_unavailable,12,1,5,0
256899,card,customer,payment_authentication,incorrect_pin,17,5,5,0
110835,netbanking,customer,payment_authentication,incorrect_pin,7,2,1,1
260760,wallet,customer,payment_authentication,expired_card,10,5,3,0
343207,netbanking,customer,payment_authorization,insufficient_funds,5,3,4,1
287494,netbanking,bank,payment_processing,bank_unavailable,19,2,3,1
260359,card,gateway,payment_processing,payment_timed_out,12,1,1,1
442940,upi,customer,payment_authentication,incorrect_pin,3,4,2,1
113539,card,bank,payment_processing,bank_unavailable,14,1,2,0
312333,wallet,customer,payment_authorization,insufficient_funds,8,6,2,1
158968,netbanking,bank,payment_processing,bank_unavailable,20,2,5,1
486844,card,customer,payment_authorization,insufficient_funds,6,5,2,1
126522,wallet,customer,payment_authentication,incorrect_pin,20,3,4,0
435806,wallet,customer,payment_authentication,incorrect_pin,16,2,5,0
316432,wallet,unknown,unknown,unknown,3,3,4,0
108155,card,customer,payment_authentication,incorrect_pin,18,3,4,0
379587,netbanking,gateway,payment_processing,payment_timed_out,17,3,1,1
121350,netbanking,unknown,unknown,unknown,10,6,1,0
131896,card,bank,payment_processing,bank_unavailable,3,4,4,0
173042,card,customer,payment_authorization,insufficient_funds,11,0,4,0
341185,upi,gateway,payment_processing,payment_timed_out,14,0,4,1
196366,card,unknown,unknown,unknown,3,0,3,0
285000,netbanking,customer,payment_authentication,incorrect_pin,8,4,3,1
276945,wallet,unknown,unknown,unknown,16,1,1,0
99118,wallet,unknown,unknown,unknown,13,2,2,0
117024,upi,customer,payment_authentication,incorrect_pin,23,5,3,1
154103,netbanking,customer,payment_authentication,incorrect_pin,5,0,1,1
111950,upi,gateway,payment_processing,payment_timed_out,18,1,1,0
459450,netbanking,customer,payment_authentication,incorrect_pin,10,0,1,1
191313,card,customer,payment_authentication,expired_card,5,1,2,0
203033,card,customer,payment_authentication,incorrect_pin,22,0,5,1
336340,netbanking,gateway,payment_processing,payment_timed_out,14,4,4,0
394251,card,customer,payment_authorization,insufficient_funds,12,5,5,1
344375,wallet,customer,payment_authentication,incorrect_pin,7,1,2,0
276038,netbanking,customer,payment_authentication,incorrect_pin,21,3,3,0
488083,wallet,customer,payment_authorization,insufficient_funds,0,2,5,0
450021,netbanking,customer,payment_authentication,expired_card,2,0,2,0
102005,card,customer,payment_authentication,incorrect_pin,4,3,4,0
80855,wallet,gateway,payment_processing,payment_timed_out,15,4,4,0
197037,card,customer,payment_authentication,expired_card,2,1,5,0
417851,netbanking,customer,payment_authorization,insufficient_funds,19,5,5,0
482375,upi,unknown,unknown,unknown,4,6,4,0
351611,upi,customer,payment_authentication,expired_card,16,0,3,0
345315,netbanking,gateway,payment_processing,payment_timed_out,19,1,5,0
117614,upi,customer,payment_authorization,insufficient_funds,21,2,4,0
296547,wallet,gateway,payment_processing,payment_timed_out,7,5,2,0
92975,wallet,customer,payment_authentication,expired_card,1,0,4,0
270283,netbanking,unknown,unknown,unknown,18,3,3,1
97681,netbanking,bank,payment_processing,bank_unavailable,10,3,2,0
38679,netbanking,gateway,payment_processing,payment_timed_out,22,0,3,0
483679,upi,bank,payment_processing,bank_unavailable,4,0,4,0
446794,card,customer,payment_authentication,incorrect_pin,13,0,5,1
342976,card,customer,payment_authentication,incorrect_pin,2,0,3,1
313127,wallet,unknown,unknown,unknown,11,3,1,1
120759,upi,gateway,payment_processing,payment_timed_out,0,6,5,1
286262,card,bank,payment_processing,bank_unavailable,18,2,3,0
374295,card,gateway,payment_processing,payment_timed_out,14,1,2,1
270211,upi,customer,payment_authentication,incorrect_pin,2,1,4,1
141687,upi,customer,payment_authentication,incorrect_pin,11,6,2,1
196565,card,customer,payment_authentication,expired_card,10,6,2,1
420644,upi,customer,payment_authentication,expired_card,16,4,5,0
128077,upi,unknown,unknown,unknown,11,3,5,0
480740,card,gateway,payment_processing,payment_timed_out,11,1,3,1
377906,upi,customer,payment_authorization,insufficient_funds,19,6,2,0
445229,netbanking,gateway,payment_processing,payment_timed_out,12,0,5,0
255274,upi,bank,payment_processing,bank_unavailable,19,1,1,1
112645,card,gateway,payment_processing,payment_timed_out,21,4,4,0
17935,card,customer,payment_authorization,insufficient_funds,20,1,3,0
267926,wallet,customer,payment_authentication,incorrect_pin,22,0,5,1
200148,netbanking,customer,payment_authentication,incorrect_pin,16,4,3,1
57727,wallet,unknown,unknown,unknown,13,0,5,0
464374,card,customer,payment_authentication,incorrect_pin,12,1,1,1
485163,card,unknown,unknown,unknown,4,4,4,1
187573,card,gateway,payment_processing,payment_timed_out,19,1,1,1
334356,wallet,customer,payment_authentication,incorrect_pin,16,5,4,0
207203,wallet,unknown,unknown,unknown,20,0,1,1
248908,wallet,customer,payment_authentication,incorrect_pin,16,4,5,1
312357,wallet,customer,payment_authentication,incorrect_pin,11,0,4,1
208799,netbanking,customer,payment_authentication,expired_card,7,5,1,0
401036,netbanking,customer,payment_authorization,insufficient_funds,23,5,5,0
95483,wallet,customer,payment_authorization,insufficient_funds,17,5,2,1
334562,card,customer,payment_authorization,insufficient_funds,20,1,3,0
491582,card,customer,payment_authentication,expired_card,14,1,1,1
425178,wallet,customer,payment_authentication,incorrect_pin,12,6,1,1
23814,card,customer,payment_authorization,insufficient_funds,0,5,2,0
57871,upi,customer,payment_authentication,expired_card,1,1,3,0
314738,netbanking,bank,payment_processing,bank_unavailable,16,0,3,0
462372,card,gateway,payment_processing,payment_timed_out,5,2,5,0
422169,wallet,customer,payment_authorization,insufficient_funds,1,4,1,1
452057,wallet,customer,payment_authentication,expired_card,18,2,4,0
75712,card,gateway,payment_processing,payment_timed_out,14,5,1,1
260055,netbanking,bank,payment_processing,bank_unavailable,2,3,2,0
363216,wallet,customer,payment_authorization,insufficient_funds,11,6,1,0
312747,netbanking,customer,payment_authentication,expired_card,11,6,1,1
388737,upi,customer,payment_authentication,expired_card,0,3,3,0
107193,netbanking,customer,payment_authentication,incorrect_pin,14,5,5,1
229070,netbanking,customer,payment_authentication,expired_card,9,3,4,0
224526,netbanking,customer,payment_authentication,incorrect_pin,21,0,5,0
470000,upi,customer,payment_authentication,expired_card,2,2,3,0
102149,card,unknown,unknown,unknown,20,2,1,0
163859,wallet,customer,payment_authentication,expired_card,0,6,2,1
11966,upi,gateway,payment_processing,payment_timed_out,18,5,5,0
76723,card,customer,payment_authorization,insufficient_funds,18,1,1,1
490471,card,unknown,unknown,unknown,9,0,1,0
423993,upi,gateway,payment_processing,payment_timed_out,6,3,5,0
130314,upi,unknown,unknown,unknown,3,3,1,0
351333,card,gateway,payment_processing,payment_timed_out,8,5,5,0
296961,wallet,customer,payment_authentication,expired_card,16,1,4,0
453383,upi,customer,payment_authentication,expired_card,17,5,4,0
150825,card,unknown,unknown,unknown,4,2,3,0
497181,upi,unknown,unknown,unknown,0,2,1,0
185940,netbanking,bank,payment_processing,bank_unavailable,13,2,3,1
358713,card,customer,payment_authentication,incorrect_pin,13,6,5,0
199483,wallet,customer,payment_authentication,incorrect_pin,23,2,5,0
336095,netbanking,customer,payment_authorization,insufficient_funds,18,3,3,0
168188,wallet,customer,payment_authentication,incorrect_pin,13,6,5,0
421805,netbanking,customer,payment_authorization,insufficient_funds,14,0,4,0
319063,card,customer,payment_authentication,incorrect_pin,15,3,1,1
145098,wallet,unknown,unknown,unknown,10,4,4,0
480508,card,customer,payment_authentication,incorrect_pin,16,6,4,1
354880,wallet,customer,payment_authentication,expired_card,4,0,3,1
214889,wallet,bank,payment_processing,bank_unavailable,19,5,4,1
68806,netbanking,customer,payment_authorization,insufficient_funds,20,5,5,0
486691,netbanking,gateway,payment_processing,payment_timed_out,10,2,3,0
377742,card,unknown,unknown,unknown,10,5,2,0
334231,wallet,gateway,payment_processing,payment_timed_out,11,3,5,0
416723,netbanking,unknown,unknown,unknown,19,4,5,0
303961,wallet,customer,payment_authentication,expired_card,4,2,4,0
116770,card,gateway,payment_processing,payment_timed_out,8,1,4,0
119315,wallet,customer,payment_authentication,incorrect_pin,14,5,1,1
40458,card,unknown,unknown,unknown,16,1,3,0
32397,upi,gateway,payment_processing,payment_timed_out,7,1,1,1
364610,upi,customer,payment_authorization,insufficient_funds,2,6,3,1
426116,netbanking,bank,payment_processing,bank_unavailable,12,6,5,1
82796,card,customer,payment_authentication,expired_card,15,4,2,0
287417,upi,customer,payment_authentication,incorrect_pin,18,4,5,0
62831,card,gateway,payment_processing,payment_timed_out,0,2,1,0
207792,netbanking,customer,payment_authorization,insufficient_funds,0,4,1,1
395577,card,customer,payment_authentication,incorrect_pin,9,4,5,1
406172,wallet,customer,payment_authorization,insufficient_funds,13,3,1,0
474428,wallet,unknown,unknown,unknown,0,4,4,0
155979,netbanking,customer,payment_authorization,insufficient_funds,4,3,4,1
474419,wallet,customer,payment_authentication,expired_card,10,6,2,0
392025,card,gateway,payment_processing,payment_timed_out,6,4,1,1
169974,upi,customer,payment_authentication,incorrect_pin,17,2,2,1
164654,upi,gateway,payment_processing,payment_timed_out,0,4,1,0
54673,wallet,customer,payment_authorization,insufficient_funds,21,1,4,0
460520,wallet,gateway,payment_processing,payment_timed_out,4,1,5,0
102449,netbanking,customer,payment_authorization,insufficient_funds,10,5,5,0
134715,upi,customer,payment_authentication,incorrect_pin,23,4,5,1
207048,card,gateway,payment_processing,payment_timed_out,15,0,4,1
69639,upi,gateway,payment_processing,payment_timed_out,23,2,5,1
403181,upi,unknown,unknown,unknown,0,6,4,0
349350,upi,gateway,payment_processing,payment_timed_out,17,4,4,0
79156,netbanking,bank,payment_processing,bank_unavailable,1,6,5,0
82260,upi,customer,payment_authorization,insufficient_funds,14,3,2,1
11976,wallet,customer,payment_authorization,insufficient_funds,7,0,3,1
474733,card,customer,payment_authentication,expired_card,18,1,5,0
218456,card,bank,payment_processing,bank_unavailable,2,0,2,0
328122,netbanking,bank,payment_processing,bank_unavailable,21,5,2,1
75836,wallet,customer,payment_authorization,insufficient_funds,11,5,1,0
116199,card,bank,payment_processing,bank_unavailable,12,3,2,0
271204,upi,customer,payment_authorization,insufficient_funds,13,5,3,0
105200,upi,customer,payment_authentication,incorrect_pin,0,3,5,1
306853,wallet,customer,payment_authentication,incorrect_pin,7,5,1,1
462014,upi,customer,payment_authentication,expired_card,17,4,4,0
153244,netbanking,bank,payment_processing,bank_unavailable,23,3,4,1
304321,card,customer,payment_authentication,incorrect_pin,23,4,5,0
457919,wallet,customer,payment_authentication,expired_card,12,2,4,0
446975,upi,customer,payment_authentication,incorrect_pin,6,5,1,1
4852,wallet,customer,payment_authentication,incorrect_pin,11,6,3,1
56002,netbanking,customer,payment_authentication,incorrect_pin,11,1,5,0
493113,card,bank,payment_processing,bank_unavailable,9,4,5,0
462771,upi,unknown,unknown,unknown,8,0,4,1
161633,wallet,customer,payment_authorization,insufficient_funds,20,2,5,0
260505,card,customer,payment_authorization,insufficient_funds,9,4,4,1
286827,card,customer,payment_authorization,insufficient_funds,0,1,1,1
334543,card,bank,payment_processing,bank_unavailable,17,1,5,0
375440,upi,gateway,payment_processing,payment_timed_out,15,2,1,0
187065,card,customer,payment_authorization,insufficient_funds,9,0,2,0
445077,upi,customer,payment_authentication,expired_card,15,4,2,1
30511,upi,unknown,unknown,unknown,22,0,4,1
17184,card,unknown,unknown,unknown,22,2,1,0
479029,upi,customer,payment_authentication,expired_card,18,2,4,0
89410,card,gateway,payment_processing,payment_timed_out,14,6,5,1
497305,wallet,unknown,unknown,unknown,0,6,4,1
143694,upi,gateway,payment_processing,payment_timed_out,12,0,2,1
182909,upi,customer,payment_authorization,insufficient_funds,19,1,5,1
14961,upi,customer,payment_authentication,incorrect_pin,20,5,2,1
471991,netbanking,customer,payment_authentication,incorrect_pin,18,2,4,1
180290,card,unknown,unknown,unknown,23,4,3,0
84695,card,customer,payment_authentication,expired_card,12,6,1,0
242187,upi,customer,payment_authorization,insufficient_funds,2,1,1,0
78187,card,bank,payment_processing,bank_unavailable,11,6,1,0
395098,card,customer,payment_authorization,insufficient_funds,7,0,5,0
37482,card,gateway,payment_processing,payment_timed_out,20,1,5,0
250112,netbanking,customer,payment_authentication,expired_card,18,3,3,0
196243,wallet,unknown,unknown,unknown,10,6,5,0
19552,card,customer,payment_authorization,insufficient_funds,9,3,1,1
27098,wallet,bank,payment_processing,bank_unavailable,3,0,5,0
259813,netbanking,customer,payment_authentication,incorrect_pin,1,1,2,0
197934,card,unknown,unknown,unknown,7,5,1,0
65743,upi,customer,payment_authentication,expired_card,5,3,4,0
70056,card,customer,payment_authentication,expired_card,6,0,2,0
402608,netbanking,bank,payment_processing,bank_unavailable,23,3,2,1
365534,upi,customer,payment_authorization,insufficient_funds,16,2,4,1
304287,wallet,unknown,unknown,unknown,13,0,2,0
416848,card,bank,payment_processing,bank_unavailable,4,1,4,0
35584,wallet,gateway,payment_processing,payment_timed_out,20,6,1,1
344220,netbanking,customer,payment_authentication,incorrect_pin,15,4,1,1
376512,card,customer,payment_authorization,insufficient_funds,12,0,2,0
101046,upi,gateway,payment_processing,payment_timed_out,11,0,4,0
268648,netbanking,customer,payment_authentication,incorrect_pin,13,2,2,1
383658,card,customer,payment_authentication,incorrect_pin,20,3,1,0
302133,upi,gateway,payment_processing,payment_timed_out,17,3,4,0
125500,wallet,customer,payment_authorization,insufficient_funds,11,4,3,0
332711,card,customer,payment_authorization,insufficient_funds,16,1,3,0
379985,upi,customer,payment_authentication,expired_card,22,0,2,0
5845,card,customer,payment_authorization,insufficient_funds,7,4,1,0
284131,card,customer,payment_authentication,incorrect_pin,21,6,1,1
252802,wallet,customer,payment_authentication,incorrect_pin,14,1,4,0
183989,netbanking,customer,payment_authentication,incorrect_pin,4,2,1,1
23074,upi,customer,payment_authentication,incorrect_pin,23,4,2,0
42662,upi,gateway,payment_processing,payment_timed_out,16,1,5,0
375334,netbanking,customer,payment_authorization,insufficient_funds,9,6,2,0
413928,upi,customer,payment_authentication,incorrect_pin,5,1,4,1
210209,card,customer,payment_authentication,incorrect_pin,21,3,2,1
469887,upi,bank,payment_processing,bank_unavailable,19,2,5,0
463903,upi,unknown,unknown,unknown,1,4,5,0
333293,wallet,bank,payment_processing,bank_unavailable,15,1,3,0
290881,upi,customer,payment_authentication,incorrect_pin,2,0,4,1
482307,upi,customer,payment_authorization,insufficient_funds,7,3,3,0
305290,wallet,bank,payment_processing,bank_unavailable,13,6,5,1
467122,upi,customer,payment_authorization,insufficient_funds,5,4,2,1
489513,wallet,unknown,unknown,unknown,12,5,5,0
98109,upi,gateway,payment_processing,payment_timed_out,10,3,4,0
330679,upi,bank,payment_processing,bank_unavailable,13,0,4,0
365875,upi,unknown,unknown,unknown,19,2,2,1
410222,netbanking,customer,payment_authorization,insufficient_funds,3,6,5,0
175303,netbanking,customer,payment_authentication,incorrect_pin,19,5,4,1
430941,card,unknown,unknown,unknown,5,4,5,1
244271,upi,unknown,unknown,unknown,0,2,5,0
194029,upi,customer,payment_authorization,insufficient_funds,10,4,1,0
79325,netbanking,customer,payment_authentication,expired_card,7,4,5,0
161280,upi,customer,payment_authorization,insufficient_funds,4,4,5,1
487415,netbanking,customer,payment_authentication,expired_card,10,6,2,0
358383,netbanking,gateway,payment_processing,payment_timed_out,20,4,5,0
363343,wallet,gateway,payment_processing,payment_timed_out,14,1,3,0
447930,card,customer,payment_authentication,expired_card,17,1,2,0
134187,upi,gateway,payment_processing,payment_timed_out,3,4,2,0
331113,card,customer,payment_authentication,expired_card,1,6,2,0
186364,wallet,gateway,payment_processing,payment_timed_out,8,6,1,1
424148,netbanking,customer,payment_authorization,insufficient_funds,18,4,4,0
211819,netbanking,bank,payment_processing,bank_unavailable,21,3,4,1
427585,card,bank,payment_processing,bank_unavailable,2,5,4,1
374020,upi,customer,payment_authentication,expired_card,11,6,3,0
386205,wallet,customer,payment_authentication,incorrect_pin,9,0,2,1
462923,wallet,customer,payment_authorization,insufficient_funds,17,2,4,0
395523,wallet,unknown,unknown,unknown,4,2,5,0
161398,wallet,customer,payment_authentication,incorrect_pin,11,3,1,1
261236,card,customer,payment_authentication,expired_card,20,2,2,0
236778,card,customer,payment_authentication,expired_card,11,2,5,0
33225,upi,bank,payment_processing,bank_unavailable,18,0,5,0
297011,wallet,customer,payment_authentication,incorrect_pin,14,0,5,1
219277,netbanking,customer,payment_authentication,incorrect_pin,14,3,1,0
197279,card,customer,payment_authorization,insufficient_funds,6,6,3,0
55699,wallet,customer,payment_authentication,incorrect_pin,23,2,1,1
252586,netbanking,customer,payment_authentication,incorrect_pin,5,1,5,1
289941,wallet,customer,payment_authentication,incorrect_pin,22,1,3,0
53748,wallet,customer,payment_authorization,insufficient_funds,23,6,2,0
317834,upi,unknown,unknown,unknown,12,4,1,1
84669,card,customer,payment_authentication,expired_card,20,4,4,0
73358,netbanking,customer,payment_authentication,incorrect_pin,17,1,5,0
201149,wallet,customer,payment_authentication,expired_card,17,6,5,0
195152,upi,customer,payment_authentication,incorrect_pin,1,1,5,0
457555,card,bank,payment_processing,bank_unavailable,3,6,5,0
34769,netbanking,customer,payment_authentication,incorrect_pin,1,6,4,1
175330,wallet,customer,payment_authentication,incorrect_pin,0,3,5,1
367526,upi,customer,payment_authentication,incorrect_pin,20,6,5,1
125646,netbanking,bank,payment_processing,bank_unavailable,4,6,3,0
490804,card,bank,payment_processing,bank_unavailable,0,4,4,1
371688,upi,bank,payment_processing,bank_unavailable,22,5,5,1
473097,netbanking,customer,payment_authentication,expired_card,6,4,1,0
474616,card,gateway,payment_processing,payment_timed_out,19,3,4,1
55473,netbanking,gateway,payment_processing,payment_timed_out,23,2,2,1
230103,card,customer,payment_authentication,expired_card,12,4,1,0
372548,wallet,customer,payment_authentication,expired_card,22,1,1,1
5293,upi,bank,payment_processing,bank_unavailable,23,1,1,0
226569,wallet,customer,payment_authorization,insufficient_funds,3,1,5,0
344387,upi,bank,payment_processing,bank_unavailable,3,0,4,0
396651,netbanking,customer,payment_authentication,incorrect_pin,8,6,1,0
